2	埃苏斯赐予斯瓦塔尔法——精灵内战中冬之宫廷一方——一种巨型黑豹,它们既是强健的坐骑,自身也是凶悍的攻击者。豹骑兵(Nyxkin)是与其中一头黑豹缔结契约的斯瓦塔尔法战士。这种羁绊如此深重,以致一方死去,另一方也随之丧命。——《埃瑞布斯生物志》
3	牛头人是身形高大、长着公牛头颅的类人生物。他们是自发行侠的守卫者,除了无法拒绝一场找上门的争斗之外,都是可靠的士兵。——《埃瑞布斯生物志》
4	埃苏斯远赴阿加雷斯那阴暗的地狱,却只见其荒废倾颓、渺无人烟。埃苏斯厌恶如此贫瘠的世界,便向尘埃吹入生息,于是一群半成形的生灵浮现——那是某个失落民族的残影。他将这些生灵命名为雾魅(Mistform),并把他们带入埃瑞布斯。雾魅能攻击人,但若无人打扰,通常会回避与人接触,依着自己的规律与习性行事,几乎不理会周遭的世界。这些习性似乎毫无目的,许多人疑心他们正梦着一个早已不复存在的世界。——《埃瑞布斯生物志》
5	冥河守卫(Stygian Guard)是哈斯塔沉默的仆从。他们全无沟通的意图,除了冷酷执行命令的本领外,也几乎不见任何思想的迹象。无人差遣时,他们便寻向水潭或别的水体,一动不动地沉入水底,除非被惊扰。——《埃瑞布斯生物志》
6	狮鹫融合了鹰与狮,对能驯服它们的人而言,是忠诚的坐骑与伙伴。它们酷爱惊险的飞行,所以不那么鲁莽的骑手,大概一生只会骑一次狮鹫。——《埃瑞布斯生物志》
7	海蛇能长到大得足以将整艘船囫囵吞下,交配期一次便产下成千上万枚卵。全靠它们彼此间频繁的争斗,以及生境中食物的匮乏,其数量才得以受制。——《埃瑞布斯生物志》
8	殉道者米沙赫尔
9	长老美西尔
10	哈拿尼雅
11	亚撒利雅
12	伯提沙撒
13	索法尼亚斯
14	那鸿
15	何西阿
16	俄巴底亚
17	哈巴谷
18	玛拉基
19	巴录
20	便西拉之子西蒙
21	尼基斯
22	菲亚克拉
23	波瑞阿斯
24	密史脱拉
25	哈兹里
26	瓦尔达拉克
27	塔库
28	焚风
29	萨莫尼奥斯
30	奥格罗尼奥斯
31	库提奥斯
32	尤尔
33	伊姆博尔克
34	[ICON_BULLET]将抛弃不具备相应国教、政策或领袖类型的玩家
35	将火焚还魂者用作可消耗的前线部队。若把火焰伤害算在内,他们比持械步兵更强,被击败时会爆炸,伤及僵尸一格范围内的所有单位(敌我皆然)。训练他们需同时具备炎之能量与死亡能量,善良阵营的玩家无法使用。他们属于不死单位,因而易受「猎杀不死」晋升与「消灭不死」法术的克制。上议会针对死亡能量的决议会阻止其成员训练这类单位。
36	麦格纳丹的马术堪称传奇,但他更以率领雇佣兵走向财富与荣耀而闻名。佣兵们常撕毁契约,只为加入他的队伍。他的魅力所激发的忠诚,远比黄金珍贵。
37	哈夫蒙男爵杜因是魔法纪元中令人闻风丧胆的军阀。每逢大捷,他便大摆筵席,与麾下将领一同啖食败者的尸身。日久,将领们的野心渐渐与他并驾齐驱。他们在一场血腥内战中反叛了他。杜因赢了战争,却失了帝国;到头来他孤身独坐,啖食着将领们的尸体。[PARAGRAPH:1]古老的传说讲述杜因的残暴、食人与对卡穆洛斯的崇拜,却不曾道出他最阴暗的秘密。这位纷争之神以狼化之诅咒回报男爵的虔诚,又让他能足够地驾驭那兽性,将其隐匿于世人之外。杜因不是第一个狼人,也非最后一个,却是最强大的一个。[PARAGRAPH:1]恐怖的杜因终究如所有凡人一般死去,却不得安息。他的灵魂在地狱中厮杀了数个世纪,方才重返生者的世界。在一个危急存亡之际,走投无路的法师们施行仪式,唤回了史上最伟大、最令人畏惧的将领。[PARAGRAPH:1]凡间的魔法只能复活那些魂魄仍逗留于埃瑞布斯的死者。若无神明干预,它绝无法将灵魂从位面之外拉回。是卡穆洛斯派男爵回返,授以复兴狼化症的使命。狼人在冰之纪元中已然绝迹。如今这场瘟疫里的每一例感染,都能清晰追溯至哈夫蒙本人。他的真实本性现已为人所知,也理应为人所惧。
38	杜因如今是近战单位而非野兽,因此不再那么容易被兽王捕获,但他仍是狼人。被他杀死的活体单位——甚至杀死他的单位——都有被狼化症感染之虞。他是狼王(Alpha Werewolf),能支配其他狼化者、使其加入自己的族群。饥渴狼人生来多半桀骜不驯,却绝不敢反叛哈夫蒙男爵。
39	霜语者
40	[TAB]霜语者是穆尔卡恩的门徒,在魔法纪元中为大多数国家所容忍。他们不向任何君主宣誓效忠,却也不散播叛乱之言。冬之信徒的举止远不止于坚忍——他们丧失了一切激情。加入这一教团的入会礼,是在冰水中通宵沐浴。熬过这场「洗礼」的人,往往无需神学辩论,人生观便已被它彻底改变。[PARAGRAPH:1]这些冷酷之人如今统领着他们神明的军队。他们迟于适应敌人的战术,力量却在于毫不动摇的理性——推行计划时,不为恐惧、野心或私人情感所扰。他们会以其神王的神力救治伤兵,但种种迹象表明,他们的怜悯实在乏善可陈。阿姆莱特的侦察队不止一次在雪中发现身负重伤、被埋起来的伊利安战士——偶尔还在喘息。
41	经济学
42	[TAB]为护卫我们国家的财富,必须限制通商,以免他国从我们忠实公民的劳作中获利。任何外邦皆是潜在的敌手,是伺机而动、四处试探弱点的凶恶掠食者。将武器与工具交到它手中,无异于招致灾祸。[PARAGRAPH:1]——阿里安·科斯拉克斯,高级议员,不义之管家[PARAGRAPH:2]贸易从来都是战争的熄灭者、偏见的根除者、知识的传播者。[PARAGRAPH:1]难道还不明显吗:劳动者的贫困与依附乃是限制与僭夺所致的反常境况;劳动者不该接受什么保护,而应索求自由。倡导扩展自由者只肯走到合乎自己特定目的之处、不肯再进一步,这绝非理由去怀疑自由本身。[PARAGRAPH:1]——亨利·乔治
43	奴隶萨维罗斯
44	宣传者
45	火船
46	火船,在木桨船或帆船的时代所用,是一种装满可燃物、被刻意点燃并驶向(或在可能时任其漂向)敌方舰队的船只,用以摧毁船舰,或制造恐慌、使敌军阵形溃乱。用作火船的船只通常是老旧破损的,或专门建造的廉价船只。爆破船(又称地狱燃烧者)是火船的一种变体,意在于敌船近旁引爆以造成损伤。
47	火船是常规海战之外廉价而可弃的替代品,也是处置那些本已过时之船只的好办法。被击败时它们会爆炸,伤及附近所有单位(敌我皆然)。它们可经由秘法或凡俗手段建造——使用炎之能量或火药皆可。
48	猎巫者
49	萨拉布莱德彻底取缔魔法,并拥有一支专为杀死法师而训练的猎巫者大军。她还坐拥一支强大的力量——加农炮,以及蒸汽朋克风格的火枪手与手枪手。鲜为人知的是,一小群巴尔的真正天使正为她效力、守卫并护佑着她。
50	再没有哪种凡人比猎巫者更擅长守护社会、抵御邪恶术士。可惜的是,他们往往残忍而堕落。即便清白之辈也常常过分狂热,分辨不出魔法的善用与恶用,宁可错杀一百无辜,也不肯放过一个有罪之人。雇用他们尤其会激怒那些政治权力仰赖秘法之力的领袖。
51	盗贼之王
52	暗影杰克
53	月歌
54	门达克斯
55	理发匠雅克
56	沃德
57	下议会城市归属授权令
58	共享地图
